GEO,Sex,Age group,Disability type,Global Severity,Labour force status,UOM,VALUE,STATUS
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Total labour force,Number,650.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employed,Number,150.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Not in labour force,Number,440.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Participation rate,Percent,30.2,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized participation rate,Percent,29.4,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Employment Rate,Percent,23.8,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Mild,Age standardized employment rate,Percent,23.6,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Total labour force,Number,440.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Not in labour force,Number,320.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Participation rate,Percent,23.8,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Moderate,Age standardized participation rate,Percent,23.9,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Severe,Not in labour force,Number,100.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Total labour force,Number,200.0,E
Newfoundland and Labrador,Males,15 to 24 years,All disability types,Very Severe,Not in labour force,Number,140.0,E
Newfoundland and Labrador,Males,15 to 24 years,Mobility,Very Severe,Total labour force,Number,110.0,E
Newfoundland and Labrador,Males,15 to 24 years,Flexibility,Very Severe,Total labour force,Number,90.0,E
Newfoundland and Labrador,Males,15 to 24 years,Dexterity,Very Severe,Total labour force,Number,70.0,E
Newfoundland and Labrador,Males,15 to 24 years,Pain,Mild,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Mild,Total labour force,Number,250.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Moderate,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Learning,Very Severe,Total labour force,Number,170.0,E
Newfoundland and Labrador,Males,15 to 24 years,Memory,Very Severe,Total labour force,Number,140.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Mild,Total labour force,Number,50.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Severe,Total labour force,Number,80.0,E
Newfoundland and Labrador,Males,15 to 24 years,Developmental,Very Severe,Total labour force,Number,160.0,E
Newfoundland and Labrador,Males,15 to 24 years,Mental and/or psychological,Very Severe,Total labour force,Number,100.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Total labour force,Number,1070.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employed,Number,720.0,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Participation rate,Percent,96.2,
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,Percent,96.7,
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Employment Rate,Percent,69.2,E
Newfoundland and Labrador,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,Percent,69.8,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Total labour force,Number,1260.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employed,Number,920.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Participation rate,Percent,82.9,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,Percent,83.6,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Employment Rate,Percent,74.8,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,Percent,75.2,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Total labour force,Number,550.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Participation rate,Percent,81.8,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,Percent,81.6,
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Employment Rate,Percent,43.6,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,Percent,43.3,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Severe,Not in labour force,Number,90.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Total labour force,Number,530.0,E
Newfoundland and Labrador,Males,35 to 44 years,All disability types,Very Severe,Not in labour force,Number,340.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Total labour force,Number,290.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mobility,Very Severe,Not in labour force,Number,160.0,E
Newfoundland and Labrador,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,Number,440.0,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Participation rate,Percent,95.2,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,Percent,95.3,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Employment Rate,Percent,90.5,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,Percent,90.8,
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Participation rate,Percent,74.2,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Moderate,Age standardized participation rate,Percent,74.4,E
Newfoundland and Labrador,Males,35 to 44 years,Pain,Very Severe,Total labour force,Number,370.0,E
Newfoundland and Labrador,Males,35 to 44 years,Learning,Very Severe,Total labour force,Number,340.0,E
Newfoundland and Labrador,Males,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,Number,380.0,E
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Total labour force,Number,2800.0,E
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employed,Number,2030.0,E
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Participation rate,Percent,80.0,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,Percent,79.7,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Employment Rate,Percent,78.1,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,Percent,77.9,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Total labour force,Number,960.0,E
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Participation rate,Percent,87.5,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Moderate,Age standardized participation rate,Percent,87.3,
Newfoundland and Labrador,Males,45 to 54 years,All disability types,Very Severe,Total labour force,Number,910.0,E
Newfoundland and Labrador,Males,45 to 54 years,Mobility,Very Severe,Total labour force,Number,860.0,E
Newfoundland and Labrador,Males,45 to 54 years,Flexibility,Very Severe,Total labour force,Number,890.0,E
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Total labour force,Number,1370.0,E
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Participation rate,Percent,86.6,
Newfoundland and Labrador,Males,45 to 54 years,Pain,Mild,Age standardized participation rate,Percent,86.3,
Newfoundland and Labrador,Males,45 to 54 years,Pain,Moderate,Total labour force,Number,890.0,E
Newfoundland and Labrador,Males,45 to 54 years,Pain,Very Severe,Total labour force,Number,860.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Total labour force,Number,1960.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employed,Number,1220.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Participation rate,Percent,78.9,
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized participation rate,Percent,78.7,
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Employment Rate,Percent,62.9,
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Mild,Age standardized employment rate,Percent,62.9,
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Total labour force,Number,1040.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Moderate,Not in labour force,Number,510.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Total labour force,Number,1980.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Severe,Not in labour force,Number,1320.0,E
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Total labour force,Number,2830.0,
Newfoundland and Labrador,Males,55 to 64 years,All disability types,Very Severe,Not in labour force,Number,1810.0,E
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Total labour force,Number,1610.0,E
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Severe,Not in labour force,Number,950.0,E
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Total labour force,Number,2680.0,
Newfoundland and Labrador,Males,55 to 64 years,Mobility,Very Severe,Not in labour force,Number,1710.0,E
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Moderate,Total labour force,Number,700.0,E
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Total labour force,Number,1080.0,E
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Severe,Not in labour force,Number,1020.0,E
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Total labour force,Number,2830.0,
Newfoundland and Labrador,Males,55 to 64 years,Flexibility,Very Severe,Not in labour force,Number,1810.0,E
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Total labour force,Number,1790.0,E
Newfoundland and Labrador,Males,55 to 64 years,Dexterity,Very Severe,Not in labour force,Number,1600.0,E
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Total labour force,Number,710.0,E
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Participation rate,Percent,79.7,
Newfoundland and Labrador,Males,55 to 64 years,Pain,Mild,Age standardized participation rate,Percent,80.9,
Newfoundland and Labrador,Males,55 to 64 years,Pain,Moderate,Total labour force,Number,700.0,E
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Total labour force,Number,1720.0,E
Newfoundland and Labrador,Males,55 to 64 years,Pain,Severe,Not in labour force,Number,1060.0,E
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Total labour force,Number,2810.0,
Newfoundland and Labrador,Males,55 to 64 years,Pain,Very Severe,Not in labour force,Number,1790.0,E
Newfoundland and Labrador,Males,55 to 64 years,Mental and/or psychological,Very Severe,Total labour force,Number,1490.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Total labour force,Number,630.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employed,Number,240.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Not in labour force,Number,300.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Participation rate,Percent,50.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized participation rate,Percent,50.7,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Employment Rate,Percent,38.7,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Mild,Age standardized employment rate,Percent,38.6,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Total labour force,Number,250.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Moderate,Not in labour force,Number,170.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Total labour force,Number,240.0,E
Newfoundland and Labrador,Females,15 to 24 years,All disability types,Severe,Not in labour force,Number,120.0,E
Newfoundland and Labrador,Females,15 to 24 years,Dexterity,Very Severe,Not in labour force,Number,50.0,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Total labour force,Number,190.0,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Participation rate,Percent,36.8,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Mild,Age standardized participation rate,Percent,36.7,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Moderate,Total labour force,Number,120.0,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Total labour force,Number,150.0,E
Newfoundland and Labrador,Females,15 to 24 years,Pain,Severe,Not in labour force,Number,100.0,E
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Total labour force,Number,120.0,E
Newfoundland and Labrador,Females,15 to 24 years,Learning,Severe,Not in labour force,Number,60.0,E
Newfoundland and Labrador,Females,15 to 24 years,Learning,Very Severe,Total labour force,Number,160.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Mild,Total labour force,Number,180.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Total labour force,Number,140.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Moderate,Not in labour force,Number,90.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Total labour force,Number,160.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Severe,Not in labour force,Number,90.0,E
Newfoundland and Labrador,Females,15 to 24 years,Mental and/or psychological,Very Severe,Not in labour force,Number,60.0,E
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Total labour force,Number,600.0,E
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Participation rate,Percent,58.6,E
Newfoundland and Labrador,Females,25 to 34 years,All disability types,Mild,Age standardized participation rate,Percent,59.3,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Total labour force,Number,1140.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Employed,Number,730.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Not in labour force,Number,340.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Participation rate,Percent,69.6,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Age standardized participation rate,Percent,69.5,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Employment Rate,Percent,65.2,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Mild,Age standardized employment rate,Percent,65.2,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Moderate,Participation rate,Percent,80.5,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Moderate,Age standardized participation rate,Percent,82.0,
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Total labour force,Number,730.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Participation rate,Percent,58.1,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Age standardized participation rate,Percent,58.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Employment Rate,Percent,56.5,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Severe,Age standardized employment rate,Percent,56.2,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Very Severe,Total labour force,Number,1050.0,E
Newfoundland and Labrador,Females,35 to 44 years,All disability types,Very Severe,Not in labour force,Number,820.0,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Participation rate,Percent,69.8,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Age standardized participation rate,Percent,70.2,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Employment Rate,Percent,67.4,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Severe,Age standardized employment rate,Percent,68.8,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Very Severe,Total labour force,Number,980.0,E
Newfoundland and Labrador,Females,35 to 44 years,Mobility,Very Severe,Not in labour force,Number,770.0,E
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Participation rate,Percent,100.0,
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Age standardized participation rate,Percent,100.0,
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Employment Rate,Percent,96.2,
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Mild,Age standardized employment rate,Percent,98.7,
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Severe,Participation rate,Percent,73.2,E
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Severe,Age standardized participation rate,Percent,71.4,E
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Very Severe,Total labour force,Number,1030.0,E
Newfoundland and Labrador,Females,35 to 44 years,Flexibility,Very Severe,Not in labour force,Number,810.0,E
Newfoundland and Labrador,Females,35 to 44 years,Dexterity,Very Severe,Total labour force,Number,720.0,E
Newfoundland and Labrador,Females,35 to 44 years,Dexterity,Very Severe,Not in labour force,Number,580.0,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Total labour force,Number,740.0,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Employed,Number,550.0,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Participation rate,Percent,80.8,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Age standardized participation rate,Percent,80.9,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Employment Rate,Percent,75.3,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Mild,Age standardized employment rate,Percent,75.9,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Total labour force,Number,150.0,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Participation rate,Percent,73.3,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Moderate,Age standardized participation rate,Percent,73.0,
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Participation rate,Percent,65.5,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Age standardized participation rate,Percent,64.8,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Employment Rate,Percent,61.8,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Severe,Age standardized employment rate,Percent,62.8,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Very Severe,Total labour force,Number,1000.0,E
Newfoundland and Labrador,Females,35 to 44 years,Pain,Very Severe,Not in labour force,Number,770.0,E
Newfoundland and Labrador,Females,35 to 44 years,Learning,Very Severe,Total labour force,Number,210.0,E
Newfoundland and Labrador,Females,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,Number,780.0,E
Newfoundland and Labrador,Females,35 to 44 years,Mental and/or psychological,Very Severe,Not in labour force,Number,570.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Total labour force,Number,1720.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Employed,Number,1510.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Participation rate,Percent,89.0,
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Age standardized participation rate,Percent,89.0,
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Employment Rate,Percent,87.8,
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Mild,Age standardized employment rate,Percent,87.9,
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Total labour force,Number,1750.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Participation rate,Percent,72.3,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Moderate,Age standardized participation rate,Percent,72.7,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Severe,Total labour force,Number,1760.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Very Severe,Total labour force,Number,1680.0,E
Newfoundland and Labrador,Females,45 to 54 years,All disability types,Very Severe,Not in labour force,Number,1000.0,E
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Severe,Total labour force,Number,1470.0,E
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Very Severe,Total labour force,Number,1660.0,E
Newfoundland and Labrador,Females,45 to 54 years,Mobility,Very Severe,Not in labour force,Number,980.0,E
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Severe,Total labour force,Number,1380.0,E
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Very Severe,Total labour force,Number,1680.0,E
Newfoundland and Labrador,Females,45 to 54 years,Flexibility,Very Severe,Not in labour force,Number,1000.0,E
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Total labour force,Number,1420.0,E
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Employed,Number,1250.0,E
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Participation rate,Percent,89.4,
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Age standardized participation rate,Percent,89.4,
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Employment Rate,Percent,88.0,
Newfoundland and Labrador,Females,45 to 54 years,Pain,Mild,Age standardized employment rate,Percent,88.1,
Newfoundland and Labrador,Females,45 to 54 years,Pain,Severe,Total labour force,Number,1480.0,E
Newfoundland and Labrador,Females,45 to 54 years,Pain,Very Severe,Total labour force,Number,1680.0,E
Newfoundland and Labrador,Females,45 to 54 years,Pain,Very Severe,Not in labour force,Number,1000.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Mild,Total labour force,Number,1930.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Mild,Not in labour force,Number,1310.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Moderate,Total labour force,Number,1060.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Severe,Total labour force,Number,1680.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Severe,Not in labour force,Number,1590.0,E
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Very Severe,Total labour force,Number,2550.0,
Newfoundland and Labrador,Females,55 to 64 years,All disability types,Very Severe,Not in labour force,Number,2330.0,E
Newfoundland and Labrador,Females,55 to 64 years,Hearing,Very Severe,Total labour force,Number,920.0,E
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Severe,Total labour force,Number,1310.0,E
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Severe,Not in labour force,Number,1220.0,E
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Very Severe,Total labour force,Number,2520.0,
Newfoundland and Labrador,Females,55 to 64 years,Mobility,Very Severe,Not in labour force,Number,2300.0,E
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Severe,Total labour force,Number,1340.0,E
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Severe,Not in labour force,Number,1250.0,E
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Very Severe,Total labour force,Number,2520.0,
Newfoundland and Labrador,Females,55 to 64 years,Flexibility,Very Severe,Not in labour force,Number,2310.0,E
Newfoundland and Labrador,Females,55 to 64 years,Dexterity,Very Severe,Total labour force,Number,1840.0,E
Newfoundland and Labrador,Females,55 to 64 years,Dexterity,Very Severe,Not in labour force,Number,1760.0,E
Newfoundland and Labrador,Females,55 to 64 years,Pain,Mild,Total labour force,Number,1320.0,E
Newfoundland and Labrador,Females,55 to 64 years,Pain,Moderate,Total labour force,Number,840.0,E
Newfoundland and Labrador,Females,55 to 64 years,Pain,Severe,Total labour force,Number,1620.0,E
Newfoundland and Labrador,Females,55 to 64 years,Pain,Severe,Not in labour force,Number,1530.0,E
Newfoundland and Labrador,Females,55 to 64 years,Pain,Very Severe,Total labour force,Number,2520.0,
Newfoundland and Labrador,Females,55 to 64 years,Pain,Very Severe,Not in labour force,Number,2310.0,E
Prince Edward Island,Males,15 to 24 years,All disability types,Mild,Total labour force,Number,210.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Total labour force,Number,200.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Employed,Number,100.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Participation rate,Percent,55.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,Percent,56.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Employment Rate,Percent,50.0,E
Prince Edward Island,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,Percent,48.8,E
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Total labour force,Number,450.0,E
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Employed,Number,410.0,E
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Participation rate,Percent,97.7,
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,Percent,96.1,
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Employment Rate,Percent,95.3,
Prince Edward Island,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,Percent,93.8,
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Participation rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Employment Rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,All disability types,Severe,Total labour force,Number,60.0,E
Prince Edward Island,Males,35 to 44 years,All disability types,Very Severe,Total labour force,Number,80.0,E
Prince Edward Island,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,Number,80.0,E
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Total labour force,Number,370.0,E
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Employed,Number,350.0,E
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Participation rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,Percent,98.5,
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Employment Rate,Percent,100.0,
Prince Edward Island,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,Percent,98.5,
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Total labour force,Number,580.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Employed,Number,550.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Participation rate,Percent,98.2,
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,Percent,97.9,
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Employment Rate,Percent,96.5,
Prince Edward Island,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,Percent,96.2,
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Total labour force,Number,260.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Employed,Number,160.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Participation rate,Percent,73.1,
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Age standardized participation rate,Percent,75.0,
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Employment Rate,Percent,61.5,E
Prince Edward Island,Males,45 to 54 years,All disability types,Moderate,Age standardized employment rate,Percent,62.2,E
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Total labour force,Number,290.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Participation rate,Percent,50.0,E
Prince Edward Island,Males,45 to 54 years,All disability types,Severe,Age standardized participation rate,Percent,50.2,E
Prince Edward Island,Males,45 to 54 years,All disability types,Very Severe,Total labour force,Number,350.0,E
Prince Edward Island,Males,45 to 54 years,Mobility,Severe,Total labour force,Number,170.0,E
Prince Edward Island,Males,45 to 54 years,Mobility,Very Severe,Total labour force,Number,230.0,E
Prince Edward Island,Males,45 to 54 years,Flexibility,Severe,Total labour force,Number,180.0,E
Prince Edward Island,Males,45 to 54 years,Flexibility,Very Severe,Total labour force,Number,260.0,E
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Participation rate,Percent,97.1,
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Age standardized participation rate,Percent,96.4,
Prince Edward Island,Males,45 to 54 years,Pain,Mild,Employment Rate,Percent,97.1,
